transaction_id,customer_id,customer_name,age,gender,city,product_category,product_id,product_name,quantity,unit_price,total_price,discount_percent,final_amount,delivery_charge,payment_method,order_date,delivery_days,order_status,return_delivery_charge,order_source,sales_channel,rating,complaint_raised,month,month_name,year
TXN-05097,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-404,Nivia Football,1,576.04,576.04,10,518.44,49,COD,2023-01-13,1,Delivered,0,App,App,4.8,No,1,January,2023
TXN-13031,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-404,Nivia Football,1,576.04,576.04,10,518.44,49,COD,2023-01-13,1,Delivered,0,App,App,4.8,No,1,January,2023
TXN-19316,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-404,Nivia Football,1,576.04,576.04,10,518.44,49,COD,2023-01-13,1,Delivered,0,App,App,4.8,No,1,January,2023
TXN-09013,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,1,2590.4,2590.4,5,2460.88,0,Debit Card,2023-01-16,4,Delivered,0,Website,Website,3.3,No,1,January,2023
TXN-18037,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,1,2590.4,2590.4,5,2460.88,0,Debit Card,2023-01-16,4,Delivered,0,Website,Website,3.3,No,1,January,2023
TXN-02085,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-203,Casual Jeans,2,878.22,1756.44,15,1492.97,0,UPI,2023-01-20,3,Cancelled,0,Mobile Web,Mobile Web,,No,1,January,2023
TXN-20131,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-401,Kobo Yoga Mat,2,970.15,1940.3,5,1843.28,0,UPI,2023-01-28,3,Delivered,0,Mobile Web,Mobile Web,3.4,No,1,January,2023
TXN-20001,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,4,3329.89,13319.56,10,11987.6,0,UPI,2023-02-01,3,Delivered,0,App,App,3.7,No,2,February,2023
TXN-16443,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-202,Silk Saree,2,1866.85,3733.7,10,3360.33,0,Credit Card,2023-02-10,3,Delivered,0,Mobile Web,Mobile Web,4.1,No,2,February,2023
TXN-05614,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-404,Nivia Football,1,643.98,643.98,10,579.58,49,Wallet,2023-02-11,4,Delivered,0,Mobile Web,Mobile Web,4.6,No,2,February,2023
TXN-02612,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-101,boAt Earphones,1,1190.88,1190.88,10,1071.79,0,UPI,2023-02-12,2,Delivered,0,App,App,4.9,No,2,February,2023
TXN-15152,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-403,SG Cricket Bat,2,1282.73,2565.46,15,2180.64,0,Debit Card,2023-02-15,3,Delivered,0,App,App,3.9,No,2,February,2023
TXN-09952,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-203,Casual Jeans,2,1017.74,2035.48,5,1933.71,0,COD,2023-02-22,3,Delivered,0,App,App,4.0,No,2,February,2023
TXN-16739,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-203,Casual Jeans,2,1017.74,2035.48,5,1933.71,0,COD,2023-02-22,3,Delivered,0,App,App,4.0,No,2,February,2023
TXN-01109,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-104,Portronics Mouse,2,915.97,1831.94,5,1740.34,0,Debit Card,2023-02-24,4,Delivered,0,Website,Website,3.7,No,2,February,2023
TXN-07067,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-103,MI Power Bank,1,1306.81,1306.81,0,1306.81,0,UPI,2023-02-24,4,Delivered,0,Facebook Ad,Mobile Web,3.6,No,2,February,2023
TXN-16057,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-104,Portronics Mouse,2,915.97,1831.94,5,1740.34,0,Debit Card,2023-02-24,4,Delivered,0,Website,Website,3.7,No,2,February,2023
TXN-10143,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-103,MI Power Bank,1,1019.44,1019.44,10,917.5,49,Credit Card,2023-02-26,2,Delivered,0,Website,Website,5.0,No,2,February,2023
TXN-11065,CUST-1001,Rahul Sharma,65,Male,Indore,Beauty,PRD-304,Maybelline Foundation,4,799.91,3199.64,15,2719.69,0,Credit Card,2023-02-28,3,Delivered,0,Instagram Ad,App,3.9,No,2,February,2023
TXN-17087,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-103,MI Power Bank,2,1237.12,2474.24,25,1855.68,0,Wallet,2023-03-01,4,Delivered,0,App,App,3.9,No,3,March,2023
TXN-08886,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-104,Portronics Mouse,2,765.34,1530.68,15,1301.08,0,Credit Card,2023-03-11,4,Delivered,0,App,App,4.0,No,3,March,2023
TXN-16207,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-403,SG Cricket Bat,1,1788.86,1788.86,10,1609.97,0,Credit Card,2023-03-12,3,Delivered,0,Facebook Ad,Mobile Web,4.0,No,3,March,2023
TXN-18334,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-403,SG Cricket Bat,1,1411.95,1411.95,10,1270.76,0,Credit Card,2023-03-20,3,Delivered,0,App,App,3.1,No,3,March,2023
TXN-17262,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-206,Winter Jacket,1,1347.84,1347.84,20,1078.27,0,Credit Card,2023-03-26,4,Delivered,0,Instagram Ad,App,3.1,Yes,3,March,2023
TXN-10101,CUST-1001,Rahul Sharma,65,Male,Indore,Beauty,PRD-301,Lakme Lipstick,2,353.0,706.0,25,529.5,49,Credit Card,2023-03-31,1,Delivered,0,Instagram Ad,App,4.5,No,3,March,2023
TXN-10849,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-101,boAt Earphones,1,803.24,803.24,5,763.08,49,Debit Card,2023-04-03,3,Delivered,0,Mobile Web,Mobile Web,3.5,Yes,4,April,2023
TXN-09496,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,3,2448.6,7345.8,15,6243.93,0,Wallet,2023-04-11,3,Delivered,0,Google Search,Website,4.8,No,4,April,2023
TXN-20513,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-405,Cosco Badminton Set,1,760.04,760.04,0,760.04,49,UPI,2023-04-12,2,Delivered,0,App,App,3.9,No,4,April,2023
TXN-06888,CUST-1001,Rahul Sharma,65,Male,Indore,Beauty,PRD-301,Lakme Lipstick,1,446.62,446.62,15,379.63,49,UPI,2023-04-13,3,Returned,79,Website,Website,1.2,Yes,4,April,2023
TXN-20862,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-403,SG Cricket Bat,1,1574.23,1574.23,15,1338.1,0,Credit Card,2023-05-19,3,Cancelled,0,App,App,,No,5,May,2023
TXN-18539,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-201,Cotton Kurta,4,654.69,2618.76,10,2356.88,0,UPI,2023-05-26,1,Returned,79,App,App,1.2,Yes,5,May,2023
TXN-04544,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-207,Sports Shoes,5,1810.78,9053.9,0,9053.9,0,UPI,2023-06-07,4,Delivered,0,App,App,3.2,No,6,June,2023
TXN-06898,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-204,Casual Shirt,5,587.09,2935.45,0,2935.45,0,UPI,2023-06-16,4,Returned,79,Instagram Ad,App,1.7,Yes,6,June,2023
TXN-07009,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-102,Realme Charger,2,301.23,602.46,15,512.09,49,Credit Card,2023-07-01,3,Cancelled,0,App,App,,Yes,7,July,2023
TXN-20150,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-206,Winter Jacket,1,1824.58,1824.58,0,1824.58,0,UPI,2023-07-03,4,Delivered,0,Friend Referral,App,3.1,No,7,July,2023
TXN-19848,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-401,Kobo Yoga Mat,2,997.98,1995.96,0,1995.96,0,UPI,2023-07-04,4,Delivered,0,App,App,4.2,No,7,July,2023
TXN-07458,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-401,Kobo Yoga Mat,2,717.32,1434.64,0,1434.64,0,Debit Card,2023-07-28,1,Delivered,0,App,App,5.0,No,7,July,2023
TXN-07569,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,2,3335.91,6671.82,15,5671.05,0,Debit Card,2023-08-07,2,Delivered,0,App,App,4.7,No,8,August,2023
TXN-07112,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-402,Kore Dumbbells,2,1028.11,2056.22,20,1644.98,0,Credit Card,2023-08-08,1,Delivered,79,App,App,4.3,Yes,8,August,2023
TXN-06088,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,2,2672.23,5344.46,30,3741.12,0,Credit Card,2023-08-11,3,Returned,79,App,App,2.9,Yes,8,August,2023
TXN-02128,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-201,Cotton Kurta,2,555.44,1110.88,20,888.7,49,UPI,2023-08-21,1,Delivered,0,App,App,4.3,No,8,August,2023
TXN-15145,CUST-1001,Rahul Sharma,65,Male,Indore,Electronics,PRD-105,Noise Smartwatch,1,3386.29,3386.29,15,2878.35,0,Debit Card,2023-08-21,4,Returned,79,App,App,2.2,Yes,8,August,2023
TXN-13321,CUST-1001,Rahul Sharma,65,Male,Indore,Fashion,PRD-207,Sports Shoes,4,1142.72,4570.88,5,4342.34,0,UPI,2023-08-27,3,Returned,79,App,App,2.6,No,8,August,2023
TXN-16306,CUST-1001,Rahul Sharma,65,Male,Indore,Sports,PRD-403,SG Cricket Bat,1,1424.7,1424.7,20,1139.76,0,Credit Card,2023-08-29,1,Delivered,0,App,App,4.5,Yes,8,August,2023
